City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,al hamul,31.3115,31.1477,26.78,36,72,0.95,EG,1716096569
1,ushuaia,-54.8,-68.3,1.81,80,0,2.57,AR,1716096569
2,edinburgh of the seven seas,-37.0676,-12.3116,13.82,78,95,3.51,SH,1716096570
3,cadale,2.7603,46.3222,28.97,75,14,8.66,SO,1716096570
4,ola,59.5833,151.2833,12.3,60,99,12.6,RU,1716096570
5,pelabuhanratu,-6.9875,106.5514,30.59,68,69,1.8,ID,1716096570
6,margaret river,-33.95,115.0667,20.78,47,100,6.02,AU,1716096570
7,blackmans bay,-43.0167,147.3167,13.62,63,94,0.45,AU,1716096570
8,hohhot,40.8106,111.6522,28.16,16,0,2.0,CN,1716096570
9,ust-nera,64.5667,143.2,4.97,99,100,2.41,RU,1716096571
10,adamstown,-25.066,-130.1015,21.52,73,98,10.63,PN,1716096571
11,kattivakkam,13.2167,80.3167,33.05,78,65,2.88,IN,1716096571
12,college,64.8569,-147.8028,17.82,42,40,4.12,US,1716096571
13,mata-utu,-13.2816,-176.1745,29.36,80,44,6.26,WF,1716096571
14,san patricio,28.017,-97.5169,27.69,91,0,4.51,US,1716096571
15,dampit,-8.2116,112.7493,29.71,56,89,3.36,ID,1716096572
16,puerto natales,-51.7236,-72.4875,0.93,95,100,1.15,CL,1716096572
17,waitangi,-43.9535,-176.5597,12.68,92,100,0.45,NZ,1716096572
18,east london,-33.0153,27.9116,10.52,100,0,2.06,ZA,1716096572
19,ribeira grande,38.5167,-28.7,15.43,82,84,1.79,PT,1716096572
20,wanning,18.8003,110.3967,32.01,65,99,6.3,CN,1716096572
21,fortaleza,-3.7227,-38.5247,26.23,89,0,2.06,BR,1716096446
22,grytviken,-54.2811,-36.5092,-1.7,82,15,6.39,GS,1716096573
23,olonkinbyen,70.9221,-8.7187,-3.31,62,78,6.28,SJ,1716096573
24,leava,-14.3,-178.1667,28.69,83,38,6.29,WF,1716096573
25,el bauga,18.262,33.9081,33.88,14,1,4.54,SD,1716096573
26,quellon,-43.1167,-73.6167,9.27,83,96,7.0,CL,1716096573
27,malvan,16.0667,73.4667,30.88,69,95,4.92,IN,1716096573
28,yellowknife,62.456,-114.3525,8.29,77,100,4.63,CA,1716096573
29,antsiranana,-12.2787,49.2917,27.42,74,40,6.17,MG,1716096574
30,fortuna,40.5982,-124.1573,10.52,90,75,4.12,US,1716096574
31,port-aux-francais,-49.35,70.2167,2.86,68,96,17.14,TF,1716096574
32,wailua homesteads,22.0669,-159.378,26.24,89,75,6.17,US,1716096574
33,massaguet,12.4755,15.4365,28.34,10,16,3.47,TD,1716096574
34,west island,-12.1568,96.8225,29.99,79,40,6.69,CC,1716096575
35,isafjordur,66.0755,-23.124,-1.75,66,95,4.05,IS,1716096575
36,rongelap,11.1635,166.8941,27.25,85,100,10.04,MH,1716096575
37,jamestown,42.097,-79.2353,14.8,98,0,0.89,US,1716096575
38,klyuchi,52.2667,79.1667,18.76,65,99,3.15,RU,1716096575
39,khairpur,27.5295,68.7617,37.0,9,19,4.38,PK,1716096575
40,medicine hat,50.0501,-110.6683,9.56,65,75,2.57,CA,1716096554
41,black river,18.0264,-77.8487,26.08,82,0,1.04,JM,1716096576
42,thompson,55.7435,-97.8558,4.09,93,100,7.72,CA,1716096576
43,tsiombe,-25.3,45.4833,21.13,81,26,3.99,MG,1716096576
44,hawaiian paradise park,19.5933,-154.9731,23.73,89,100,2.06,US,1716096576
45,qaqortoq,60.7167,-46.0333,0.8,77,100,1.87,GL,1716096576
46,stanley,54.868,-1.6985,9.77,94,100,2.57,GB,1716096576
47,kone,-21.0595,164.8658,25.75,68,75,3.13,NC,1716096576
48,s'arenal,39.5,2.75,16.4,89,16,2.44,ES,1716096577
49,ilulissat,69.2167,-51.1,-3.99,68,22,2.57,GL,1716096577
50,banff,51.1762,-115.5698,2.57,87,99,5.66,CA,1716096577
51,srbica,42.7467,20.7886,16.62,97,100,1.9,XK,1716096577
52,aldinga beach,-35.2793,138.4604,15.98,58,100,5.37,AU,1716096578
53,puerto ayora,-0.7393,-90.3518,22.53,100,6,1.34,EC,1716096578
54,basoda,23.85,77.9333,39.81,19,5,6.21,IN,1716096578
55,issoire,45.55,3.25,8.59,93,19,1.73,FR,1716096578
56,albany,42.6001,-73.9662,15.4,80,12,1.49,US,1716096578
57,bethel,41.3712,-73.414,15.01,83,100,0.45,US,1716096107
58,la passe,45.5549,-0.8967,11.12,86,44,0.86,FR,1716096578
59,papatowai,-46.5619,169.4708,5.44,79,30,0.99,NZ,1716096579
60,invercargill,-46.4,168.35,6.68,74,96,0.85,NZ,1716096579
61,ussuriysk,43.7986,131.9508,15.9,89,100,2.78,RU,1716096579
62,lihue,21.9789,-159.3672,26.58,87,75,6.17,US,1716096579
63,avarua,-21.2078,-159.775,23.03,88,75,2.57,CK,1716096579
64,bilibino,68.0546,166.4372,-0.25,67,8,1.47,RU,1716096579
65,la ronge,55.1001,-105.2842,7.14,93,100,4.63,CA,1716096579
66,tazovsky,67.4667,78.7,-7.64,91,74,3.31,RU,1716096580
67,samarinda,-0.5,117.15,30.81,69,56,1.78,ID,1716096580
68,egilsstadir,65.2653,-14.3948,-2.05,80,75,0.51,IS,1716096580
69,mikhnevo,55.1272,37.9522,14.53,63,3,2.68,RU,1716096580
70,port mathurin,-19.6833,63.4167,25.18,57,98,4.56,MU,1716096580
71,enewetak,11.3474,162.3373,27.4,82,99,10.56,MH,1716096580
72,constantia,44.1833,28.65,14.38,77,92,4.2,RO,1716096581
73,carnarvon,-24.8667,113.6333,28.33,30,0,5.69,AU,1716096581
74,dolores,-36.3132,-57.6792,8.04,66,100,0.7,AR,1716096581
75,vilyuchinsk,52.9306,158.4028,6.07,97,100,4.13,RU,1716096581
76,iqaluit,63.7506,-68.5145,-11.77,86,5,2.61,CA,1716096581
77,kalanaur,28.8333,76.4,42.52,10,0,2.59,IN,1716096581
